WKT,PIXEL,X,Y
"POLYGON ((-79.6844267066241 40.6716266665179,-79.6846857986109 40.6806299620862,-79.6728594724225 40.6808266308413,-79.6726019632062 40.6718233093684,-79.6844267066241 40.6716266665179))",174113,-79.67864,40.67623
"POLYGON ((-80.1688527236971 40.6535243552435,-80.1691765966098 40.6625264722571,-80.1573550445528 40.6627725327338,-80.1570327527061 40.6537703833109,-80.1688527236971 40.6535243552435))",133114,-80.16310,40.65815
"POLYGON ((-80.1570327527061 40.6537703833109,-80.1573550445528 40.6627725327338,-80.1455334061986 40.6630173881452,-80.1452126954524 40.6540152064716,-80.1570327527061 40.6537703833109))",134114,-80.15128,40.65839
"POLYGON ((-80.1452126954524 40.6540152064716,-80.1455334061986 40.6630173881452,-80.1337116819698 40.6632610384782,-80.1333925523587 40.6542588247126,-80.1452126954524 40.6540152064716))",135114,-80.13946,40.65864
"POLYGON ((-80.1333925523587 40.6542588247126,-80.1337116819698 40.6632610384782,-80.1218898722892 40.66350348372,-80.1215723238474 40.6545012380209,-80.1333925523587 40.6542588247126))",136114,-80.12764,40.65888
"POLYGON ((-80.1215723238474 40.6545012380209,-80.1218898722892 40.66350348372,-80.1100679775796 40.6637447238577,-80.1097520103413 40.6547424463839,-80.1215723238474 40.6545012380209))",137114,-80.11582,40.65912
"POLYGON ((-80.1097520103413 40.6547424463839,-80.1100679775796 40.6637447238577,-80.0982459982637 40.6639847588786,-80.0979316122628 40.6549824497887,-80.1097520103413 40.6547424463839))",138114,-80.10400,40.65936
"POLYGON ((-80.0979316122628 40.6549824497887,-80.0982459982637 40.6639847588786,-80.0864239347644 40.6642235887699,-80.0861111300348 40.6552212482226,-80.0979316122628 40.6549824497887))",139114,-80.09218,40.65960
"POLYGON ((-80.0861111300348 40.6552212482226,-80.0864239347644 40.6642235887699,-80.0746017875045 40.664461213519,-80.0742905640796 40.655458841673,-80.0861111300348 40.6552212482226))",140114,-80.08036,40.65984
"POLYGON ((-80.0742905640796 40.655458841673,-80.0746017875045 40.664461213519,-80.0627795569067 40.6646976331134,-80.0624699148202 40.6556952301274,-80.0742905640796 40.655458841673))",141114,-80.06854,40.66008
"POLYGON ((-80.0624699148202 40.6556952301274,-80.0627795569067 40.6646976331134,-80.0509572433941 40.6649328475406,-80.0506491826792 40.6559304135731,-80.0624699148202 40.6556952301274))",142114,-80.05671,40.66031
"POLYGON ((-80.0506491826792 40.6559304135731,-80.0509572433941 40.6649328475406,-80.0391348473894 40.665166856788,-80.0388283680792 40.6561643919979,-80.0506491826792 40.6559304135731))",143114,-80.04489,40.66055
"POLYGON ((-80.0388283680792 40.6561643919979,-80.0391348473894 40.665166856788,-80.0273123693156 40.6653996608434,-80.027007471443 40.6563971653892,-80.0388283680792 40.6561643919979))",144114,-80.03307,40.66078
"POLYGON ((-80.027007471443 40.6563971653892,-80.0273123693156 40.6653996608434,-80.0154898095955 40.6656312596944,-80.0151864931934 40.6566287337348,-80.027007471443 40.6563971653892))",145114,-80.02125,40.66101
"POLYGON ((-80.0151864931934 40.6566287337348,-80.0154898095955 40.6656312596944,-80.0036671686522 40.6658616533286,-80.003365433753 40.6568590970224,-80.0151864931934 40.6566287337348))",146114,-80.00943,40.66125
"POLYGON ((-80.003365433753 40.6568590970224,-80.0036671686522 40.6658616533286,-79.9918444469084 40.666090841734,-79.9915442935447 40.6570882552398,-80.003365433753 40.6568590970224))",147114,-79.99761,40.66148
"POLYGON ((-79.9915442935447 40.6570882552398,-79.9918444469084 40.666090841734,-79.9800216447873 40.6663188248985,-79.9797230729914 40.6573162083749,-79.9915442935447 40.6570882552398))",148114,-79.98578,40.66170
"POLYGON ((-79.9797230729914 40.6573162083749,-79.9800216447873 40.6663188248985,-79.9681987627118 40.6665456028099,-79.9679017725156 40.6575429564157,-79.9797230729914 40.6573162083749))",149114,-79.97396,40.66193
"POLYGON ((-79.9679017725156 40.6575429564157,-79.9681987627118 40.6665456028099,-79.9563758011048 40.6667711754562,-79.9560803925404 40.6577684993501,-79.9679017725156 40.6575429564157))",150114,-79.96214,40.66216
"POLYGON ((-79.9560803925404 40.6577684993501,-79.9563758011048 40.6667711754562,-79.9445527603895 40.6669955428256,-79.9442589334886 40.6579928371662,-79.9560803925404 40.6577684993501))",151114,-79.95032,40.66238
"POLYGON ((-79.9442589334886 40.6579928371662,-79.9445527603895 40.6669955428256,-79.9327296409888 40.667218704906,-79.932437395783 40.6582159698522,-79.9442589334886 40.6579928371662))",152114,-79.93849,40.66261
"POLYGON ((-79.932437395783 40.6582159698522,-79.9327296409888 40.667218704906,-79.9209064433258 40.6674406616858,-79.9206157798465 40.6584378973962,-79.932437395783 40.6582159698522))",153114,-79.92667,40.66283
"POLYGON ((-79.9206157798465 40.6584378973962,-79.9209064433258 40.6674406616858,-79.9090831678235 40.6676614131532,-79.908794086102 40.6586586197864,-79.9206157798465 40.6584378973962))",154114,-79.91485,40.66305
"POLYGON ((-79.908794086102 40.6586586197864,-79.9090831678235 40.6676614131532,-79.8972598149051 40.6678809592965,-79.8969723149725 40.6588781370113,-79.908794086102 40.6586586197864))",155114,-79.90303,40.66327
"POLYGON ((-79.8969723149725 40.6588781370113,-79.8972598149051 40.6678809592965,-79.8854363849937 40.6680993001041,-79.8851504668807 40.6590964490592,-79.8969723149725 40.6588781370113))",156114,-79.89120,40.66349
"POLYGON ((-79.8851504668807 40.6590964490592,-79.8854363849937 40.6680993001041,-79.8736128785123 40.6683164355644,-79.8733285422498 40.6593135559185,-79.8851504668807 40.6590964490592))",157114,-79.87938,40.66371
"POLYGON ((-79.8733285422498 40.6593135559185,-79.8736128785123 40.6683164355644,-79.861789295884 40.6685323656659,-79.8615065415027 40.6595294575777,-79.8733285422498 40.6593135559185))",158114,-79.86756,40.66392
"POLYGON ((-79.8615065415027 40.6595294575777,-79.861789295884 40.6685323656659,-79.8499656375322 40.6687470903972,-79.8496844650623 40.6597441540255,-79.8615065415027 40.6595294575777))",159114,-79.85574,40.66414
"POLYGON ((-79.8496844650623 40.6597441540255,-79.8499656375322 40.6687470903972,-79.8381419038798 40.668960609747,-79.8378623133516 40.6599576452504,-79.8496844650623 40.6597441540255))",160114,-79.84391,40.66435
"POLYGON ((-79.8378623133516 40.6599576452504,-79.8381419038798 40.668960609747,-79.8263180953501 40.669172923704,-79.8260400867937 40.6601699312412,-79.8378623133516 40.6599576452504))",161114,-79.83209,40.66457
"POLYGON ((-79.8260400867937 40.6601699312412,-79.8263180953501 40.669172923704,-79.8144942123663 40.6693840322568,-79.8142177858116 40.6603810119866,-79.8260400867937 40.6601699312412))",162114,-79.82027,40.66478
"POLYGON ((-79.8142177858116 40.6603810119866,-79.8144942123663 40.6693840322568,-79.8026702553517 40.6695939353943,-79.8023954108283 40.6605908874755,-79.8142177858116 40.6603810119866))",163114,-79.80844,40.66499
"POLYGON ((-79.8023954108283 40.6605908874755,-79.8026702553517 40.6695939353943,-79.7908462247293 40.6698026331055,-79.7905729622668 40.6607995576967,-79.8023954108283 40.6605908874755))",164114,-79.79662,40.66520
"POLYGON ((-79.7905729622668 40.6607995576967,-79.7908462247293 40.6698026331055,-79.7790221209225 40.6700101253793,-79.7787504405504 40.6610070226393,-79.7905729622668 40.6607995576967))",165114,-79.78480,40.66540
"POLYGON ((-79.7787504405504 40.6610070226393,-79.7790221209225 40.6700101253793,-79.7671979443546 40.6702164122046,-79.766927846102 40.6612132822921,-79.7787504405504 40.6610070226393))",166114,-79.77297,40.66561
"POLYGON ((-79.766927846102 40.6612132822921,-79.7671979443546 40.6702164122046,-79.7553736954488 40.6704214935707,-79.7551051793447 40.6614183366444,-79.766927846102 40.6612132822921))",167114,-79.76115,40.66582
"POLYGON ((-79.7551051793447 40.6614183366444,-79.7553736954488 40.6704214935707,-79.7435493746285 40.6706253694665,-79.7432824407018 40.6616221856853,-79.7551051793447 40.6614183366444))",168114,-79.74933,40.66602
"POLYGON ((-79.7432824407018 40.6616221856853,-79.7435493746285 40.6706253694665,-79.7317249823168 40.6708280398814,-79.7314596305963 40.6618248294039,-79.7432824407018 40.6616221856853))",169114,-79.73750,40.66623
