PIXEL,X,Y,id
132119,-80.1733027661,40.6128911920,"132,119"
133119,-80.1614899479,40.6131376763,"133,119"
134119,-80.1496770434,40.6133829565,"134,119"
135119,-80.1378640529,40.6136270324,"135,119"
136119,-80.1260509770,40.6138699042,"136,119"
137119,-80.1142378161,40.6141115717,"137,119"
138119,-80.1024245705,40.6143520350,"138,119"
139119,-80.0906112407,40.6145912940,"139,119"
140119,-80.0787978272,40.6148293488,"140,119"
141119,-80.0669843302,40.6150661993,"141,119"
142119,-80.0551707503,40.6153018455,"142,119"
143119,-80.0433570879,40.6155362874,"143,119"
144119,-80.0315433434,40.6157695250,"144,119"
145119,-80.0197295172,40.6160015583,"145,119"
146119,-80.0079156098,40.6162323872,"146,119"
147119,-79.9961016215,40.6164620118,"147,119"
148119,-79.9842875528,40.6166904320,"148,119"
149119,-79.9724734042,40.6169176479,"149,119"
150119,-79.9606591759,40.6171436593,"150,119"
151119,-79.9488448686,40.6173684664,"151,119"
152119,-79.9370304825,40.6175920690,"152,119"
153119,-79.9252160180,40.6178144673,"153,119"
154119,-79.9134014758,40.6180356610,"154,119"
155119,-79.9015868560,40.6182556504,"155,119"
156119,-79.8897721592,40.6184744353,"156,119"
157119,-79.8779573859,40.6186920157,"157,119"
158119,-79.8661425363,40.6189083916,"158,119"
159119,-79.8543276109,40.6191235631,"159,119"
160119,-79.8425126102,40.6193375300,"160,119"
161119,-79.8306975346,40.6195502925,"161,119"
162119,-79.8188823845,40.6197618504,"162,119"
163119,-79.8070671603,40.6199722038,"163,119"
164119,-79.7952518625,40.6201813526,"164,119"
165119,-79.7834364914,40.6203892968,"165,119"
166119,-79.7716210475,40.6205960365,"166,119"
167119,-79.7598055312,40.6208015716,"167,119"
168119,-79.7479899429,40.6210059022,"168,119"
169119,-79.7361742832,40.6212090281,"169,119"
170119,-79.7243585522,40.6214109494,"170,119"
171119,-79.7125427506,40.6216116661,"171,119"
172119,-79.7007268787,40.6218111781,"172,119"
173119,-79.6889109370,40.6220094855,"173,119"
129120,-80.2084117767,40.6031424044,"129,120"
130120,-80.1966007986,40.6033924683,"130,120"
131120,-80.1847897329,40.6036413282,"131,120"
132120,-80.1729785802,40.6038889841,"132,120"
133120,-80.1611673407,40.6041354359,"133,120"
134120,-80.1493560149,40.6043806838,"134,120"
135120,-80.1375446033,40.6046247276,"135,120"
136120,-80.1257331062,40.6048675674,"136,120"
137120,-80.1139215241,40.6051092030,"137,120"
138120,-80.1021098575,40.6053496346,"138,120"
139120,-80.0902981066,40.6055888622,"139,120"
140120,-80.0784862720,40.6058268856,"140,120"
141120,-80.0666743541,40.6060637049,"141,120"
142120,-80.0548623532,40.6062993200,"142,120"
143120,-80.0430502699,40.6065337310,"143,120"
144120,-80.0312381045,40.6067669379,"144,120"
145120,-80.0194258574,40.6069989406,"145,120"
146120,-80.0076135291,40.6072297391,"146,120"
147120,-79.9958011201,40.6074593334,"147,120"
148120,-79.9839886306,40.6076877236,"148,120"
149120,-79.9721760612,40.6079149095,"149,120"
150120,-79.9603634122,40.6081408912,"150,120"
151120,-79.9485506842,40.6083656686,"151,120"
152120,-79.9367378774,40.6085892418,"152,120"
153120,-79.9249249924,40.6088116107,"153,120"
154120,-79.9131120296,40.6090327754,"154,120"
155120,-79.9012989893,40.6092527357,"155,120"
156120,-79.8894858720,40.6094714918,"156,120"
157120,-79.8776726781,40.6096890435,"157,120"
158120,-79.8658594081,40.6099053910,"158,120"
159120,-79.8540460623,40.6101205341,"159,120"
160120,-79.8422326412,40.6103344728,"160,120"
161120,-79.8304191452,40.6105472072,"161,120"
162120,-79.8186055748,40.6107587373,"162,120"
163120,-79.8067919303,40.6109690629,"163,120"
164120,-79.7949782121,40.6111781842,"164,120"
165120,-79.7831644208,40.6113861010,"165,120"
166120,-79.7713505567,40.6115928135,"166,120"
167120,-79.7595366202,40.6117983215,"167,120"
168120,-79.7477226118,40.6120026251,"168,120"
169120,-79.7359085319,40.6122057243,"169,120"
170120,-79.7240943808,40.6124076190,"170,120"
171120,-79.7122801591,40.6126083092,"171,120"
172120,-79.7004658672,40.6128077950,"172,120"
127121,-80.2317014784,40.5936366028,"127,121"
128121,-80.2198922547,40.5938890414,"128,121"
129121,-80.2080829428,40.5941402761,"129,121"
130121,-80.1962735429,40.5943903071,"130,121"
131121,-80.1844640555,40.5946391342,"131,121"
132121,-80.1726544809,40.5948867574,"132,121"
133121,-80.1608448198,40.5951331768,"133,121"
134121,-80.1490350723,40.5953783924,"134,121"
135121,-80.1372252391,40.5956224040,"135,121"
136121,-80.1254153204,40.5958652118,"136,121"
137121,-80.1136053168,40.5961068156,"137,121"
138121,-80.1017952286,40.5963472155,"138,121"
139121,-80.0899850562,40.5965864115,"139,121"
140121,-80.0781748002,40.5968244036,"140,121"
141121,-80.0663644608,40.5970611917,"141,121"
142121,-80.0545540386,40.5972967758,"142,121"
143121,-80.0427435339,40.5975311559,"143,121"
144121,-80.0309329471,40.5977643321,"144,121"
145121,-80.0191222788,40.5979963042,"145,121"
146121,-80.0073115293,40.5982270723,"146,121"
147121,-79.9955006990,40.5984566364,"147,121"
148121,-79.9836897883,40.5986849964,"148,121"
149121,-79.9718787977,40.5989121524,"149,121"
150121,-79.9600677277,40.5991381043,"150,121"
151121,-79.9482565785,40.5993628521,"151,121"
152121,-79.9364453507,40.5995863958,"152,121"
153121,-79.9246340446,40.5998087355,"153,121"
154121,-79.9128226608,40.6000298710,"154,121"
155121,-79.9010111995,40.6002498024,"155,121"
156121,-79.8891996613,40.6004685296,"156,121"
157121,-79.8773880465,40.6006860527,"157,121"
158121,-79.8655763556,40.6009023716,"158,121"
159121,-79.8537645889,40.6011174864,"159,121"
160121,-79.8419527470,40.6013313969,"160,121"
161121,-79.8301408303,40.6015441033,"161,121"
162121,-79.8183288390,40.6017556055,"162,121"
163121,-79.8065167738,40.6019659034,"163,121"
164121,-79.7947046350,40.6021749971,"164,121"
165121,-79.7828924230,40.6023828866,"165,121"
166121,-79.7710801382,40.6025895718,"166,121"
167121,-79.7592677811,40.6027950527,"167,121"
168121,-79.7474553521,40.6029993294,"168,121"
169121,-79.7356428516,40.6032024018,"169,121"
